date,close,open,high,low,vol
2014-04-15,3070,2990,3095,2985,27194
2014-04-16,3030,3050,3150,3030,36270
2014-04-17,3085,3030,3115,3030,28242
2014-04-18,3250,3100,3275,3100,41800
2014-04-21,3240,3260,3300,3190,15532
2014-04-22,3235,3220,3300,3180,12089
2014-04-23,3190,3220,3300,3125,21453
2014-04-24,3100,3245,3245,3030,13301
2014-04-25,3095,3115,3265,3050,5761
2014-04-28,3020,3075,3090,3010,10315
2014-04-29,3020,3080,3160,3010,5185
2014-04-30,3095,3020,3175,2990,3720
2014-05-02,3050,3085,3085,3010,8255
2014-05-07,3055,3160,3160,3000,2355
2014-05-08,3065,3055,3095,3005,5633
2014-05-09,3040,3065,3070,3010,5471
2014-05-12,2985,3040,3095,2930,16749
2014-05-13,2950,2985,3000,2925,17024
2014-05-14,2955,2990,3020,2940,11708
2014-05-15,2960,2940,2990,2940,20223
2014-05-16,2930,2995,2995,2920,10014
2014-05-19,2975,2925,3000,2910,541
2014-05-20,3010,2990,3020,2895,36001
2014-05-21,3030,3180,3180,2970,2620
2014-05-22,3000,3010,3030,2930,17618
2014-05-23,3040,3040,3085,3000,29198
2014-05-26,3045,3020,3245,3000,36225
2014-05-27,3105,3105,3105,3040,46368
2014-05-28,3180,3125,3180,3055,24276
2014-05-29,3190,3245,3245,3095,55894
2014-05-30,3210,3170,3240,3170,34844
2014-06-02,3585,3190,3600,3175,178278
2014-06-03,3615,3515,3995,3515,336539
2014-06-05,3585,3695,3785,3515,77975
2014-06-09,3430,3550,3600,3365,72461
2014-06-10,3435,3400,3455,3375,71055
2014-06-11,3495,3405,3545,3390,44108
2014-06-12,3495,3470,3500,3445,10500
2014-06-13,3440,3545,3545,3315,69961
2014-06-16,3360,3440,3455,3350,21234
2014-06-17,3425,3345,3490,3345,27440
2014-06-18,3390,3465,3485,3380,31265
2014-06-19,3350,3370,3445,3350,17751
2014-06-20,3350,3390,3400,3320,8695
2014-06-23,3360,3355,3400,3320,14254
2014-06-24,3465,3370,3500,3330,48034
2014-06-25,3390,3445,3555,3380,26639
2014-06-26,3375,3375,3490,3330,14807
2014-06-27,3300,3355,3415,3300,9519
2014-06-30,3270,3300,3365,3250,2392
2014-07-01,3325,3370,3370,3245,10540
2014-07-02,3305,3325,3395,3305,6190
2014-07-03,3595,3320,3650,3320,136651
2014-07-04,3520,3620,3640,3425,70214
2014-07-07,3560,3500,3565,3470,25015
2014-07-08,3665,3560,3665,3500,43334
2014-07-09,3800,3565,3830,3565,101149
2014-07-10,4300,3865,4370,3760,266896
2014-07-11,4210,4300,4380,4175,78326
2014-07-14,4260,4210,4300,4180,62440
2014-07-15,4260,4315,4315,4105,32068
2014-07-16,4100,4280,4280,3910,81133
2014-07-17,4030,4145,4145,3945,50536
2014-07-18,3855,4045,4045,3755,55297
2014-07-21,4050,3860,4140,3860,38900
2014-07-22,3875,4020,4100,3830,55806
2014-07-23,3695,3850,3865,3650,114410
2014-07-24,3690,3460,3745,3460,24238
2014-07-25,3730,3630,3730,3630,15216
2014-07-28,3535,3730,3730,3515,25869
2014-07-29,3600,3605,3650,3520,17625
2014-07-30,3670,3525,3670,3480,14106
2014-07-31,3585,3600,3715,3500,29084
2014-08-01,3570,3585,3680,3520,7941
2014-08-04,3530,3685,3685,3480,19758
2014-08-05,3500,3630,3630,3485,8565
2014-08-06,3365,3500,3510,3305,36937
2014-08-07,3300,3345,3530,3300,10866
2014-08-08,3140,3350,3350,3065,86077
2014-08-11,3155,3140,3185,3125,10787
2014-08-12,3210,3125,3240,3125,13188
2014-08-13,3250,3265,3285,3210,17155
2014-08-14,3340,3370,3370,3245,6661
2014-08-18,3415,3345,3420,3300,13218
2014-08-19,3505,3410,3545,3300,42773
2014-08-20,3410,3560,3560,3410,24857
2014-08-21,3400,3410,3475,3400,11030
2014-08-22,3415,3475,3475,3350,10407
2014-08-25,3350,3365,3410,3310,17176
2014-08-26,3375,3425,3425,3300,9261
2014-08-27,3315,3360,3415,3270,10231
2014-08-28,3450,3415,3470,3200,16281
2014-08-29,3510,3485,3520,3435,7952
2014-09-01,3470,3460,3470,3395,20765
2014-09-02,3545,3500,3545,3405,9640
2014-09-03,3500,3555,3680,3455,16339
2014-09-04,3450,3545,3545,3410,9852
2014-09-05,3420,3400,3445,3400,4232
2014-09-11,3390,3490,3490,3365,9336
2014-09-12,3345,3405,3430,3335,2193
2014-09-15,3310,3330,3335,3285,9130
2014-09-16,3400,3325,3410,3280,8956
2014-09-17,3400,3410,3410,3330,12357
2014-09-18,3425,3490,3550,3400,13102
2014-09-19,3420,3530,3530,3400,8635
2014-09-22,3315,3420,3420,3250,19660
2014-09-23,3285,3365,3365,3200,27944
2014-09-24,3340,3395,3395,3255,3319
2014-09-25,3325,3340,3360,3255,11024
2014-09-26,3300,3325,3325,3250,13122
2014-09-29,3325,3420,3420,3310,4463
2014-09-30,3310,3370,3370,3245,1612
2014-10-01,3175,3290,3360,3175,5145
2014-10-02,3160,3290,3290,3120,647
2014-10-06,3310,3160,3370,3110,9034
2014-10-07,3265,3310,3310,3215,2780
2014-10-08,3375,3330,3375,3190,3076
2014-10-10,3270,3375,3375,3270,2690
2014-10-13,3220,3275,3325,3140,8685
2014-10-14,3175,3230,3320,3155,3809
2014-10-15,3230,3295,3295,3170,11543
2014-10-16,3270,3135,3310,3135,3955
2014-10-17,3300,3300,3300,3180,10656
2014-10-20,3340,3300,3350,3255,7383
2014-10-21,3345,3235,3355,3230,4194
2014-10-22,3350,3340,3350,3255,7940
2014-10-23,3345,3340,3350,3250,3054
2014-10-24,3265,3355,3355,3250,6584
2014-10-27,3240,3250,3285,3170,13375
2014-10-28,3225,3240,3240,3140,12348
2014-10-29,3205,3195,3260,3165,6175
2014-10-30,3205,3205,3220,3170,7791
2014-10-31,3210,3205,3220,3135,11572
2014-11-03,3370,3210,3485,3160,41562
2014-11-04,3300,3340,3370,3170,15471
2014-11-05,3250,3325,3325,3200,6377
2014-11-06,3185,3175,3240,3170,8144
2014-11-07,3290,3125,3365,3125,5318
2014-11-10,3215,3295,3295,3160,10751
2014-11-11,3215,3300,3300,3185,3755
2014-11-12,3200,3170,3250,3170,4044
2014-11-13,3165,3200,3200,3130,12049
2014-11-14,3170,3165,3200,3160,8429
2014-11-17,3140,3170,3170,3115,10346
2014-11-18,3165,3140,3175,3125,6570
2014-11-19,3145,3145,3170,3140,5911
2014-11-20,3090,3150,3180,3090,17569
2014-11-21,3080,3090,3125,3060,24689
2014-11-24,3100,3080,3145,3050,13735
2014-11-25,3130,3100,3160,3080,4225
2014-11-26,3130,3130,3145,3100,4100
2014-11-27,3085,3155,3155,3050,21565
2014-11-28,3060,3085,3115,3015,37366
2014-12-01,3030,3060,3120,3010,5942
2014-12-02,2955,3065,3095,2930,27786
2014-12-03,2970,2985,2985,2950,6252
2014-12-04,2950,2990,3000,2950,21213
2014-12-05,2990,2950,3110,2900,11342
2014-12-08,3020,2985,3025,2945,9727
2014-12-09,3020,3000,3025,2940,7136
2014-12-10,2955,3015,3015,2920,11447
2014-12-11,2960,2950,2960,2910,5010
2014-12-12,2960,2955,3020,2895,26393
2014-12-15,3035,2950,3045,2900,10610
2014-12-16,3010,3030,3035,2950,9555
2014-12-17,3040,3000,3060,2945,5955
2014-12-18,3040,3050,3050,2975,10514
2014-12-19,3010,3005,3055,2980,8794
2014-12-22,2910,3010,3015,2910,3905
2014-12-23,2930,2910,3000,2910,19918
2014-12-24,3010,2925,3020,2895,10724
2014-12-26,3040,3045,3075,2920,8622
2014-12-29,3060,3075,3075,3005,6744
2014-12-30,3105,3060,3175,3000,25346
2015-01-02,3075,3100,3100,3010,12437
2015-01-05,3070,3135,3135,3020,8436
2015-01-06,3035,3050,3085,3000,12095
2015-01-07,3030,3035,3040,2915,16250
2015-01-08,3025,3030,3065,3000,3222
2015-01-09,3040,3025,3090,2965,18019
2015-01-12,3040,3055,3070,3000,8791
2015-01-13,3015,3040,3040,2975,8221
2015-01-14,3000,2965,3045,2955,6719
2015-01-15,3005,3000,3025,2970,17586
2015-01-16,2955,3000,3005,2940,7267
2015-01-19,2990,2955,3150,2900,22777
2015-01-20,2990,2990,2990,2900,24228
2015-01-21,2945,2990,2990,2900,16725
2015-01-22,2955,2945,2975,2920,16105
2015-01-23,3070,2945,3195,2945,96022
2015-01-26,3290,3095,3310,3045,86397
2015-01-27,3270,3400,3400,3185,38330
2015-01-28,3280,3270,3290,3170,34220
2015-01-29,3315,3285,3365,3170,25353
2015-01-30,3310,3345,3365,3205,23873
2015-02-02,3295,3345,3400,3230,37444
2015-02-03,3165,3265,3315,3150,16202
2015-02-04,3300,3110,3350,3110,57691
2015-02-05,3530,3350,3620,3280,85138
2015-02-06,3450,3450,3550,3445,28165
2015-02-09,3405,3460,3485,3380,26845
2015-02-10,3390,3405,3460,3375,37695
2015-02-11,3495,3365,3650,3365,32146
2015-02-12,3485,3495,3510,3425,15186
2015-02-13,3475,3500,3500,3380,35454
2015-02-16,3515,3475,3550,3450,43742
2015-02-17,3535,3535,3670,3485,43931
2015-02-23,3600,3535,3610,3500,36057
2015-02-24,3760,3605,3790,3605,45215
2015-02-25,3790,3765,3795,3690,29550
2015-02-26,3595,3750,3795,3595,26707
2015-02-27,3695,3595,3695,3505,16525
2015-03-02,3570,3695,3715,3570,19123
2015-03-03,3475,3465,3525,3415,38879
2015-03-04,3400,3445,3485,3325,13926
2015-03-05,3500,3400,3520,3400,14611
